Car ID,Brand,Model,Year,Transmission,Mileage,Fuel Type,Tax,MPG,Engine Size,Price
12024,Mercedes, CLS Class,2015,Semi-Auto,33087,Diesel,165,51.4,3,20498
12025,Mercedes, CLS Class,2019,Semi-Auto,3418,Diesel,145,47.9,2.9,45699
12026,Mercedes, CLS Class,2016,Automatic,54195,Diesel,165,49.6,3,18900
12027,Toyota, Prius,2019,Automatic,4793,Hybrid,140,64.2,1.8,23995
12028,Volkswagen, Amarok,2020,Automatic,5000,Diesel,265,33.6,3,34995
12029,Volkswagen, Amarok,2019,Automatic,12023,Diesel,260,28.3,3,32888
12030,Toyota, Verso,2017,Manual,31756,Diesel,145,62.8,1.6,11498
12031,Mercedes, V Class,2019,Automatic,10,Diesel,145,45.6,2.2,50640
12032,Hyundai, I800,2018,Automatic,21600,Diesel,150,33.6,2.5,16790
12033,Audi, A7,2014,Semi-Auto,29319,Diesel,145,54.3,3,19800
12034,Volkswagen, Tiguan Allspace,2019,Semi-Auto,6515,Petrol,145,35.8,1.5,29990
12035,Toyota, Prius,2019,Automatic,3650,Hybrid,140,217.3,1.8,27999
12036,Skoda, Rapid,2018,Manual,12231,Petrol,145,62.8,1,7995
12037,Ford, Galaxy,2018,Semi-Auto,42164,Diesel,145,52.3,2,18999
12038,Mercedes, S Class,2019,Semi-Auto,83,Diesel,145,52.3,3,49998
12039,Hyundai, I40,2015,Manual,53730,Diesel,30,65.7,1.7,8854
12040,Audi, RS6,2016,Automatic,41854,Petrol,325,29.4,4,49500
12041,Mercedes, S Class,2018,Semi-Auto,39203,Diesel,145,52.3,3,34999
12042,Volkswagen, Beetle,2016,Manual,35345,Diesel,30,61.4,2,10990
12043,Ford, Edge,2019,Automatic,10,Diesel,145,37.2,2,33000
12044,BMW, 7 Series,2016,Semi-Auto,23600,Petrol,200,41.5,3,23995
12045,Audi, RS5,2018,Semi-Auto,28249,Petrol,145,32.5,2.9,42500
12046,Volkswagen, Amarok,2020,Automatic,10000,Diesel,265,27.7,3,44980
12047,Audi, RS3,2015,Automatic,15016,Petrol,300,34.9,2.5,28985
12048,Ford, Fusion,2008,Automatic,66000,Petrol,260,37.2,1.6,2750
12049,BMW, 7 Series,2008,Automatic,70500,Diesel,325,35.3,3,6480
12050,Vauxhall, Zafira Tourer,2016,Automatic,14000,Petrol,200,40.9,1.4,12990
12051,Volkswagen, Arteon,2019,Automatic,7865,Diesel,145,50.4,2,28995
12052,Ford, Galaxy,2019,Semi-Auto,3763,Diesel,145,54.3,2,27500
12053,Mercedes, CLA Class,2016,Automatic,28916,Diesel,20,67.3,2.1,20248
12054,Toyota, Prius,2019,Automatic,4605,Hybrid,140,61.4,1.8,23490
12055,Toyota, GT86,2019,Manual,5123,Petrol,145,33.2,2,25780
12056,Mercedes, S Class,2015,Semi-Auto,34434,Diesel,200,48.7,3,26498
12057,Volkswagen, Scirocco,2013,Manual,37940,Diesel,30,62.8,2,11500
12058,Ford, Edge,2018,Semi-Auto,9412,Diesel,150,47.9,2,24000
12059,Vauxhall, Combo Life,2019,Manual,2083,Diesel,145,53.3,1.5,16991
12060,BMW, 6 Series,2017,Semi-Auto,3546,Diesel,145,48.7,3,32023
12061,Toyota, Verso,2011,Manual,74488,Petrol,200,41.5,1.6,5899
12062,Volkswagen, Scirocco,2017,Semi-Auto,37975,Diesel,125,58.9,2,15690
12063,Ford, Edge,2016,Manual,52000,Diesel,200,47.9,2,17995
12064,Mercedes, S Class,2019,Semi-Auto,2500,Diesel,145,52.3,3,55649
12065,Ford, Tourneo Connect,2016,Automatic,36145,Diesel,125,56.6,1.5,13250
12066,Mercedes, CLS Class,2016,Automatic,17730,Diesel,165,51.4,3,21591
12067,Toyota, Verso,2013,Manual,55965,Petrol,205,42.8,1.6,8490
12068,Ford, Edge,2019,Semi-Auto,7999,Diesel,145,37.2,2,29999
12069,Hyundai, Santa Fe,2019,Semi-Auto,3920,Diesel,145,39.2,2.2,32995
12070,Ford, Tourneo Custom,2019,Manual,10450,Diesel,145,31.7,2,29500
12071,BMW, M5,2019,Semi-Auto,2269,Petrol,145,24.1,4.4,89900
12072,BMW, 6 Series,2019,Semi-Auto,1125,Petrol,145,34.5,3,39999
12073,Ford, Edge,2019,Automatic,21457,Diesel,145,37.2,2,30000
12074,Mercedes, GL Class,2017,Automatic,8442,Diesel,145,56.5,2.1,26499
12075,Mercedes, SLK,2015,Automatic,13000,Diesel,150,56.5,2.1,17900
12076,Ford, Edge,2019,Automatic,10,Diesel,145,37.2,2,30990
12077,Toyota, Land Cruiser,2017,Semi-Auto,34580,Diesel,305,38.2,2.8,36450
12078,Mercedes, CLS Class,2017,Semi-Auto,45870,Diesel,125,57.7,2.1,20480
12079,Skoda, Yeti,2014,Semi-Auto,28095,Diesel,205,44.8,2,12750
12080,Audi, A7,2017,Semi-Auto,21134,Diesel,145,52.3,3,25450
12081,Ford, Grand C-MAX,2017,Manual,16509,Petrol,30,54.3,1,12000
12082,BMW, 6 Series,2016,Automatic,37868,Diesel,160,51.4,3,18737
12083,Toyota, Prius,2017,Automatic,8943,Hybrid,0,94.1,1.8,20995
12084,Skoda, Scala,2019,Manual,3501,Petrol,145,49.6,1,15490
12085,Mercedes, S Class,2017,Semi-Auto,32979,Hybrid,135,100.9,3,45599
12086,BMW, M4,2019,Semi-Auto,101,Petrol,145,34,3,41980
12087,BMW, i3,2016,Automatic,43695,Hybrid,0,470.8,0,16482
12088,Hyundai, IX20,2017,Manual,32663,Diesel,30,64.2,1.6,8769
12089,BMW, M4,2017,Semi-Auto,20750,Petrol,300,34,3,34950
12090,Hyundai, I800,2018,Manual,33387,Diesel,150,31.7,2.5,15800
12091,Toyota, Hilux,2016,Manual,28521,Diesel,260,40.4,2.4,19990
12092,Volkswagen, CC,2015,Manual,61119,Diesel,30,60.1,2,9301
12093,Volkswagen, Scirocco,2015,Manual,30367,Petrol,145,37.2,2,12217
12094,Ford, Grand Tourneo Connect,2017,Manual,27252,Diesel,30,64.2,1.5,14200
12095,Mercedes, GL Class,2018,Manual,15202,Petrol,145,48.7,1.6,19399
12096,Mercedes, X-CLASS,2018,Manual,14243,Diesel,260,37.2,2.3,18991
12097,Audi, A7,2017,Semi-Auto,37000,Diesel,145,62.8,3,23450
12098,Ford, KA,2013,Manual,51000,Petrol,30,57.7,1.2,4490
12099,BMW, X7,2019,Automatic,7791,Diesel,145,33.6,3,59988
12100,BMW, X4,2016,Semi-Auto,13005,Diesel,145,54.3,2,26995
12101,Toyota, GT86,2018,Manual,15525,Petrol,150,36.2,2,19995
12102,Ford, Puma,2020,Manual,1543,Petrol,145,50.4,1,21495
12103,Mercedes, S Class,2018,Semi-Auto,3796,Petrol,145,31.7,4,104400
12104,Ford, Grand C-MAX,2017,Manual,6368,Diesel,30,64.2,1.5,11498
12105,Mercedes, X-CLASS,2019,Automatic,8974,Diesel,265,35.8,2.3,22995
12106,Hyundai, Santa Fe,2019,Semi-Auto,2000,Diesel,145,39.8,2.2,32000
12107,BMW, i3,2016,Automatic,8421,Hybrid,0,470.8,0,19490
12108,BMW, X6,2019,Semi-Auto,2500,Petrol,145,26.4,3,59990
12109,BMW, 8 Series,2019,Semi-Auto,5923,Diesel,150,39.8,3,59000
12110,Volkswagen, Caddy,2015,Manual,45500,Diesel,160,49.6,2,13590
12111,Volkswagen, CC,2015,Manual,83009,Diesel,30,60.1,2,8337
12112,Toyota, Avensis,2014,Manual,44537,Diesel,30,61.4,2,7999
12113,Ford, Edge,2018,Semi-Auto,19364,Diesel,145,47.9,2,25498
12114,Volkswagen, Beetle,2016,Semi-Auto,44533,Petrol,200,42.2,2,14490
12115,Mercedes, M Class,2013,Automatic,70710,Diesel,300,39.2,3,16490
12116,Ford, Edge,2019,Automatic,12607,Diesel,145,37.2,2,32000
12117,Ford, Grand C-MAX,2017,Semi-Auto,10295,Diesel,30,58.9,1.5,10499
12118,Skoda, Scala,2020,Semi-Auto,1700,Petrol,145,47.1,1,16995
12119,BMW, X7,2019,Semi-Auto,5600,Diesel,150,33.6,3,67400
12120,Ford, Galaxy,2017,Manual,22995,Diesel,125,56.5,2,19995
12121,Volkswagen, Tiguan Allspace,2018,Semi-Auto,8019,Diesel,145,47.9,2,25499
12122,Toyota, Avensis,2016,Manual,41257,Diesel,20,67.3,1.6,8420
12123,Skoda, Kamiq,2019,Manual,2500,Petrol,145,47.9,1,19950
12124,Mercedes, GL Class,2017,Automatic,30827,Diesel,200,47.9,2.1,27999
12125,Volkswagen, Shuttle,2019,Semi-Auto,14028,Diesel,145,32.8,2,28995
12126,Audi, RS6,2020,Automatic,3000,Petrol,145,22.1,4,104948
12127,Vauxhall, Combo Life,2019,Manual,4912,Diesel,145,53.3,1.5,17994
12128,Toyota, Prius,2017,Automatic,37071,Hybrid,135,85.6,1.8,17498
12129,Ford, Grand C-MAX,2016,Manual,36706,Diesel,30,61.4,2,12295
12130,Ford, KA,2017,Manual,16001,Petrol,145,57.7,1.2,7699
12131,Ford, KA,2010,Manual,61575,Petrol,30,55.4,1.2,3690
12132,BMW, 7 Series,2016,Automatic,34000,Diesel,125,57.6,3,23990
12133,Ford, Edge,2018,Semi-Auto,3420,Diesel,145,37.2,2,29000
12134,Mercedes, CLS Class,2019,Semi-Auto,3194,Diesel,145,45.6,2,39999
12135,Toyota, Prius,2019,Automatic,6500,Hybrid,135,64.2,1.8,24695
12136,Toyota, Land Cruiser,2020,Semi-Auto,3390,Diesel,145,30.1,2.8,50995
12137,BMW, Z3,1999,Manual,58000,Petrol,270,35.3,1.9,3950
12138,Skoda, Kamiq,2019,Automatic,3985,Petrol,145,44.1,1.5,21995
12139,Vauxhall, GTC,2014,Manual,52994,Diesel,125,60.1,2,6349
12140,BMW, 6 Series,2014,Automatic,59295,Diesel,160,49.6,3,16500
12141,Audi, A8,2018,Automatic,10296,Diesel,145,50.4,3,37000
12142,Volkswagen, Shuttle,2018,Manual,9289,Diesel,145,46.3,2,21999
12143,Hyundai, I40,2016,Manual,38259,Diesel,30,65.7,1.7,9698
12144,Ford, Mustang,2017,Manual,20700,Petrol,150,20.9,5,27500
12145,Skoda, Scala,2019,Manual,4352,Petrol,145,49.6,1,15795
12146,Ford, KA,2009,Manual,68441,Petrol,30,55.4,1.2,3295
12147,Audi, RS3,2016,Automatic,36123,Petrol,305,34.9,2.5,33000
12148,Hyundai, IX20,2017,Manual,37682,Diesel,30,64.2,1.6,8650
12149,Hyundai, IX20,2017,Automatic,4076,Petrol,145,43.5,1.6,11199
12150,Volkswagen, Caravelle,2019,Automatic,11163,Diesel,145,33.6,2,44500
12151,Volkswagen, CC,2015,Manual,36602,Diesel,30,62.8,2,11292
12152,BMW, Z4,2016,Semi-Auto,25300,Petrol,205,41.5,2,18650
12153,Volkswagen, Scirocco,2017,Manual,20491,Diesel,20,55.4,2,14881
12154,Volkswagen, Arteon,2019,Semi-Auto,3111,Petrol,145,47.1,2,27990
12155,BMW, M2,2019,Automatic,2689,Petrol,145,29.1,3,43480
12156,Hyundai, Santa Fe,2019,Semi-Auto,6982,Diesel,145,39.2,2.2,33949
12157,Volkswagen, Scirocco,2014,Manual,46806,Diesel,30,62.8,2,10000
12158,Ford, Puma,2019,Manual,2233,Petrol,145,51.4,1,18990
12159,Hyundai, IX20,2015,Manual,27399,Petrol,125,50.4,1.4,7699
12160,Hyundai, I800,2017,Automatic,41469,Diesel,145,33.6,2.5,13500
12161,Volkswagen, Arteon,2018,Automatic,20159,Petrol,145,47.1,2,20990
12162,Volkswagen, Arteon,2019,Semi-Auto,6627,Diesel,145,50.4,2,25890
12163,Mercedes, V Class,2017,Semi-Auto,58590,Diesel,235,44.8,2.2,27998
12164,BMW, 7 Series,2019,Automatic,339,Petrol,145,34.5,3,47980
12165,Vauxhall, Combo Life,2019,Manual,2048,Diesel,145,53.3,1.5,19995
12166,Toyota, Hilux,2020,Automatic,1259,Diesel,265,2.8,2.4,39257
12167,Volkswagen, Arteon,2018,Semi-Auto,23000,Diesel,145,55.4,2,22490
12168,Ford, Mustang,2017,Automatic,7546,Petrol,145,23.5,5,48999
12169,Toyota, Avensis,2012,Automatic,58000,Petrol,200,42.2,1.8,8995
12170,Hyundai, IX35,2015,Manual,28040,Diesel,145,53.3,1.7,9099
12171,Mercedes, V Class,2019,Automatic,2550,Diesel,145,36.7,2,47950
12172,BMW, 6 Series,2017,Automatic,14400,Diesel,160,51.4,3,22449
12173,Audi, A7,2017,Semi-Auto,56460,Diesel,160,52.3,3,21500
12174,Volkswagen, Arteon,2018,Automatic,9288,Diesel,145,44.1,2,23700
12175,Audi, A8,2020,Semi-Auto,1100,Diesel,145,40.4,3,52995
12176,Volkswagen, Beetle,2016,Manual,19039,Petrol,145,48.7,1.4,11990
12177,Skoda, Scala,2019,Manual,7000,Petrol,145,49.6,1,14990
12178,Toyota, Avensis,2015,Manual,51500,Diesel,30,61.4,2,8495
12179,Ford, Galaxy,2016,Manual,16407,Diesel,125,56.5,2,17000
12180,Skoda, Kamiq,2020,Automatic,228,Petrol,145,44.1,1.5,18990
12181,Hyundai, I40,2019,Manual,10,Diesel,145,52.3,1.6,16500
12182,Audi, A7,2011,Semi-Auto,72000,Petrol,300,34.4,3,12950
12183,Skoda, Yeti,2013,Semi-Auto,38000,Petrol,165,44.1,1.2,8495
12184,Hyundai, IX35,2013,Manual,25892,Diesel,145,48.7,1.7,8799
12185,BMW, M2,2019,Semi-Auto,19548,Petrol,145,29.1,3,37990
12186,BMW, X4,2020,Automatic,5000,Diesel,145,40.9,3,44495
12187,Ford, Edge,2017,Manual,19726,Diesel,160,48.7,2,20479
12188,Hyundai, Santa Fe,2019,Automatic,20,Diesel,145,39.8,2.2,32489
12189,Mercedes, CLS Class,2019,Semi-Auto,8697,Petrol,145,31.7,3,68000
12190,Skoda, Rapid,2019,Manual,14837,Petrol,145,58.9,1,9498
12191,Mercedes, V Class,2018,Automatic,3067,Diesel,145,44.8,2.2,42134
12192,BMW, X6,2016,Semi-Auto,29211,Diesel,205,47.1,3,20950
12193,Ford, Mustang,2016,Automatic,18500,Petrol,570,23.5,5,28490
12194,Mercedes, GL Class,2016,Automatic,36000,Diesel,235,42.8,3,27990
12195,Volkswagen, CC,2017,Semi-Auto,17955,Diesel,125,58.9,2,15490
12196,Mercedes, GL Class,2016,Automatic,16489,Diesel,125,56.5,2.1,19699
12197,Hyundai, I40,2015,Manual,22000,Diesel,20,67.3,1.7,8495
12198,BMW, X7,2019,Semi-Auto,10,Diesel,145,31.4,3,76970
12199,Ford, Grand C-MAX,2017,Manual,31976,Diesel,30,61.4,2,13299
12200,Volkswagen, Scirocco,2017,Manual,25150,Diesel,145,64.2,2,17999
12201,BMW, Z4,2019,Automatic,2756,Petrol,145,33.2,3,40000
12202,Ford, Edge,2017,Semi-Auto,19552,Diesel,200,47.9,2,22500
12203,Ford, Edge,2017,Semi-Auto,36000,Diesel,160,48.7,2,18490
12204,Skoda, Yeti,2017,Manual,53033,Diesel,30,62.8,2,9999
12205,Volkswagen, Tiguan Allspace,2019,Automatic,4635,Diesel,145,38.7,2,27989
12206,Vauxhall, Combo Life,2019,Manual,14500,Diesel,145,53.3,1.5,15999
12207,Hyundai, IX20,2017,Manual,10279,Petrol,145,50.4,1.4,9795
12208,Skoda, Kamiq,2019,Semi-Auto,2200,Petrol,145,44.1,1.5,22001
12209,Skoda, Kamiq,2019,Manual,2300,Petrol,145,47.9,1,17169
12210,Vauxhall, Combo Life,2019,Manual,12000,Diesel,145,53.3,1.5,18299
12211,Ford, Puma,2020,Manual,3000,Petrol,145,50.4,1,22975
12212,Vauxhall, GTC,2017,Manual,34404,Petrol,145,36.2,2,14950
12213,Ford, Tourneo Connect,2016,Manual,42960,Diesel,30,61.4,1.5,8998
12214,Ford, Grand C-MAX,2017,Manual,38967,Petrol,30,54.3,1,10500
12215,Volkswagen, CC,2013,Manual,79303,Diesel,30,60.1,2,7970
12216,Ford, KA,2014,Manual,22888,Petrol,30,57.7,1.2,5000
12217,Mercedes, GL Class,2018,Automatic,2880,Diesel,145,56.5,2.1,20999
12218,BMW, M2,2020,Semi-Auto,15,Petrol,150,29.1,3,42999
12219,Ford, Edge,2017,Manual,38778,Diesel,160,48.7,2,17295
12220,Skoda, Kamiq,2019,Semi-Auto,4750,Petrol,145,45.6,1,19495
12221,Skoda, Yeti,2014,Manual,45505,Diesel,145,55.4,2,8250
12222,Volkswagen, Shuttle,2018,Semi-Auto,3768,Diesel,145,45.6,2,28900
12223,Ford, Galaxy,2017,Automatic,7743,Diesel,145,52.3,2,20627
12224,BMW, M4,2018,Automatic,3033,Petrol,145,33.6,3,51000
12225,BMW, X4,2015,Automatic,31723,Diesel,200,47.9,3,23500
12226,Hyundai, I800,2018,Manual,33173,Diesel,145,37.7,2.5,15499
12227,Mercedes, CLS Class,2019,Automatic,6273,Diesel,145,48.7,2.9,35980
12228,Toyota, Supra,2019,Semi-Auto,500,Petrol,145,34.5,3,49994
12229,Mercedes, V Class,2019,Automatic,3442,Diesel,150,39.8,2.1,25991
12230,Audi, Q8,2019,Semi-Auto,2715,Diesel,145,33.6,3,51950
12231,Hyundai, Santa Fe,2014,Manual,50425,Diesel,200,46.3,2.2,11830
12232,Mercedes, CLS Class,2018,Semi-Auto,11461,Diesel,145,57.7,2.1,24775
12233,BMW, X7,2019,Semi-Auto,2881,Diesel,145,33.6,3,66000
12234,Skoda, Scala,2019,Manual,4050,Petrol,145,49.6,1,14999
12235,Mercedes, CLS Class,2018,Semi-Auto,8673,Petrol,145,36.2,3,41112
12236,Hyundai, Getz,2003,Automatic,51000,Petrol,260,37.2,1.6,1990
12237,Mercedes, SLK,2014,Semi-Auto,34170,Petrol,200,43.5,2,13650
12238,Toyota, Prius,2017,Automatic,37564,Hybrid,140,85.6,1.8,18799
12239,Vauxhall, Combo Life,2018,Manual,34138,Diesel,145,53.3,1.5,12816
12240,Volkswagen, Beetle,2017,Manual,30446,Petrol,145,53.3,1.2,12240
12241,Hyundai, I40,2016,Manual,29347,Diesel,30,65.7,1.7,10998
12242,Audi, R8,2013,Manual,19834,Petrol,570,19.6,4.2,47995
12243,Volkswagen, Jetta,2015,Manual,35242,Diesel,20,70.6,2,7999
12244,Ford, Edge,2016,Manual,30000,Diesel,160,48.7,2,17991
12245,Mercedes, V Class,2019,Automatic,9,Diesel,145,36.2,2,45395
12246,Hyundai, IX20,2016,Manual,20347,Petrol,125,50.4,1.4,7327
12247,BMW, 6 Series,2019,Automatic,35,Petrol,145,29.1,3,39146
12248,Volkswagen, Caravelle,2019,Automatic,2000,Diesel,150,33.6,2,40000
12249,Ford, Puma,2019,Manual,1606,Petrol,145,50.4,1,23999
12250,Mercedes, GL Class,2018,Automatic,12471,Petrol,145,50.4,1.6,19999
12251,BMW, 8 Series,2020,Semi-Auto,151,Diesel,145,26.7,3,79991
12252,Ford, Edge,2017,Manual,19175,Diesel,150,48.7,2,20495
12253,Mercedes, V Class,2019,Automatic,999,Diesel,145,36.7,2,47999
12254,Audi, A7,2019,Semi-Auto,20,Diesel,145,38.2,2,39950
12255,Mercedes, CLS Class,2016,Automatic,32611,Diesel,165,49.6,3,22684
12256,Toyota, Verso,2017,Automatic,22512,Petrol,200,42.8,1.8,14291
12257,Audi, A7,2019,Semi-Auto,4100,Diesel,145,47.1,2,33990
12258,Hyundai, IX35,2015,Manual,46573,Diesel,145,53.3,1.7,8420
12259,BMW, X4,2019,Automatic,3170,Petrol,145,26.9,3,40000
12260,Skoda, Scala,2020,Manual,1656,Petrol,145,50.4,1,14995
12261,Ford, Grand C-MAX,2017,Manual,8121,Petrol,145,54.3,1,12490
12262,Ford, Grand C-MAX,2017,Manual,17242,Diesel,30,64.2,1.5,12444
12263,Hyundai, I800,2016,Automatic,51446,Diesel,325,33.6,2.5,14300
12264,Skoda, Yeti,2017,Manual,16000,Petrol,125,51.4,1.2,11995
12265,Ford, Galaxy,2018,Manual,19033,Diesel,145,56.5,2,17900
12266,Volkswagen, Amarok,2018,Automatic,24000,Diesel,260,36.2,3,26990
12267,BMW, Z4,2003,Automatic,70000,Petrol,325,29.7,3,3495
12268,Mercedes, GLB Class,2020,Semi-Auto,349,Diesel,145,46.3,2,39980
12269,Hyundai, Santa Fe,2019,Semi-Auto,25,Diesel,145,39.8,2.2,35495
12270,Audi, A8,2015,Automatic,25406,Diesel,160,49.6,3,19870
12271,Toyota, Prius,2016,Automatic,23300,Hybrid,0,85.6,1.8,18690
12272,Ford, Grand Tourneo Connect,2019,Manual,542,Diesel,145,61.4,1.5,18500
12273,Mercedes, GLS Class,2016,Automatic,32505,Diesel,305,37.2,3,34763
12274,Ford, Puma,2020,Manual,2477,Petrol,145,50.4,1,19990
12275,Mercedes, SLK,2016,Semi-Auto,36363,Diesel,30,70.6,2,16480
12276,Skoda, Kamiq,2019,Automatic,4671,Petrol,150,43.5,1.5,20799
12277,Toyota, Avensis,2016,Manual,40889,Diesel,20,67.3,1.6,11495
12278,Hyundai, Santa Fe,2019,Semi-Auto,130,Diesel,145,42.8,2.2,31995
12279,Ford, Galaxy,2017,Manual,8204,Diesel,145,56.5,2,19223
12280,Volkswagen, CC,2013,Manual,62541,Diesel,30,60.1,2,7820
12281,Ford, Galaxy,2019,Automatic,600,Diesel,145,43.5,2,23950
12282,Mercedes, GL Class,2015,Automatic,51081,Diesel,325,36.2,3,28975
12283,Audi, S3,2017,Semi-Auto,26500,Petrol,150,43.5,2,23950
12284,Audi, RS3,2017,Semi-Auto,17552,Petrol,145,34,2.5,38995
12285,Toyota, Prius,2011,Manual,112000,Other,0,70.6,1.8,7250
12286,Mercedes, CLA Class,2017,Manual,35580,Petrol,150,48.7,1.6,16600
12287,Ford, Mustang,2018,Automatic,3000,Petrol,145,28.8,2.3,29998
12288,Mercedes, CLS Class,2018,Automatic,17663,Diesel,145,48.7,2.9,31026
12289,Audi, RS6,2017,Semi-Auto,13051,Petrol,150,29.4,4,56950
12290,Skoda, Rapid,2017,Manual,36348,Petrol,30,57.7,1.2,7995
12291,Skoda, Kamiq,2020,Manual,1927,Petrol,145,47.9,1,17799
12292,Mercedes, X-CLASS,2019,Automatic,40,Diesel,260,31.4,3,32500
12293,Mercedes, SLK,2008,Automatic,58000,Petrol,330,29.7,3,7495
12294,Hyundai, Santa Fe,2018,Semi-Auto,17496,Diesel,145,39.2,2.2,29498
12295,Volkswagen, Beetle,2014,Semi-Auto,17162,Diesel,160,50.4,2,14990
12296,Vauxhall, GTC,2015,Manual,62700,Diesel,125,60.1,2,6645
12297,Volkswagen, Amarok,2018,Automatic,4980,Diesel,260,33.6,3,30999
12298,Ford, Galaxy,2019,Semi-Auto,9770,Diesel,145,54.3,2,24479
12299,Mercedes, M Class,2015,Automatic,50408,Diesel,200,39.2,2.1,19940
12300,Mercedes, CLS Class,2018,Semi-Auto,14130,Diesel,150,48.7,2.9,31796
12301,Toyota, Prius,2016,Automatic,48297,Hybrid,0,85.6,1.8,17650
12302,Audi, A8,2019,Automatic,178,Diesel,145,39.2,3,52850
12303,Volkswagen, Arteon,2018,Semi-Auto,4350,Diesel,145,52.3,2,22785
12304,Toyota, Verso,2018,Manual,7074,Diesel,145,62.8,1.6,13965
12305,Volkswagen, Scirocco,2015,Semi-Auto,46463,Diesel,125,53.3,2,11950
12306,Toyota, Prius,2019,Automatic,1626,Hybrid,135,64.2,1.8,22995
12307,Ford, Galaxy,2017,Semi-Auto,36708,Diesel,145,52.3,2,19000
12308,Volkswagen, Caddy Maxi Life,2019,Semi-Auto,3818,Diesel,145,46.3,2,19999
12309,Ford, Galaxy,2013,Manual,67000,Diesel,145,49.6,2,9290
12310,Ford, KA,2014,Manual,32385,Petrol,30,57.7,1.2,5997
12311,Toyota, Prius,2017,Automatic,27203,Hybrid,0,85.6,1.8,20495
12312,Hyundai, IX20,2016,Automatic,31000,Petrol,165,43.5,1.6,9350
12313,BMW, 6 Series,2016,Automatic,17264,Petrol,325,32.1,4.4,26976
12314,Ford, Grand C-MAX,2017,Manual,28958,Diesel,30,64.2,1.5,10500
12315,Volkswagen, Shuttle,2019,Semi-Auto,12316,Diesel,145,32.8,2,36995
12316,Toyota, Prius,2016,Automatic,46994,Hybrid,0,85.6,1.8,16999
12317,Volkswagen, CC,2013,Automatic,41394,Diesel,145,53.3,2,10000
12318,Vauxhall, Agila,2011,Manual,25669,Petrol,30,55.4,1.2,4655
12319,BMW, 6 Series,2017,Semi-Auto,25975,Diesel,160,51.4,3,23990
12320,Mercedes, S Class,2019,Semi-Auto,5961,Diesel,145,52.3,3,54599
12321,Ford, KA,2013,Manual,40000,Petrol,30,57.7,1.2,4500
12322,Audi, A7,2016,Semi-Auto,40809,Diesel,125,61.4,3,19698
12323,Toyota, Land Cruiser,2006,Automatic,113000,Diesel,555,31.4,3,7240
12324,Mercedes, X-CLASS,2018,Automatic,7820,Diesel,260,31.4,3,38995
12325,Volkswagen, Shuttle,2019,Semi-Auto,10074,Diesel,145,32.8,2,28000
12326,Ford, KA,2018,Manual,6878,Petrol,145,57.7,1.2,8700
12327,Mercedes, SLK,2014,Automatic,30769,Diesel,145,56.5,2,11699
12328,Ford, Tourneo Custom,2016,Manual,44233,Diesel,200,46.3,2,18798
12329,Skoda, Scala,2019,Automatic,3572,Petrol,145,45.6,1.5,16295
12330,BMW, X6,2020,Semi-Auto,3200,Diesel,145,34.9,3,52990
12331,Ford, Grand Tourneo Connect,2014,Manual,37381,Diesel,125,58.9,1.6,10995
12332,Toyota, Land Cruiser,2015,Semi-Auto,27845,Diesel,300,38.2,2.8,31200
12333,Ford, Grand Tourneo Connect,2016,Automatic,21576,Diesel,125,56.6,1.5,14000
